hh_id,ptc_id,wave,wealth_index
HH20180106,PT2018010600,1,-6.410355396927522
HH20180113,PT2018011300,1,-0.5076545134842837
HH20180137,PT2018013700,1,-3.5794258626264925
HH20180147,PT2018014700,1,7.126238424198962
HH20180157,PT2018015700,1,-3.2556402441278087
HH20180165,PT2018016500,1,-4.5689237831609715
HH20180177,PT2018017700,1,1.767845662522341
HH20180187,PT2018018700,1,1.394064125265177
HH20180213,PT2018021300,1,6.512785437474836
HH20180216,PT2018021600,1,0.21982380951992245
HH20180223,PT2018022300,1,-1.7511775821104751
HH20180228,PT2018022800,1,1.4861922012961932
HH20180233,PT2018023300,1,-1.1401429432662595
HH20180268,PT2018026800,1,-1.1145449544266102
HH20180272,PT2018027200,1,1.429482678924555
HH20180275,PT2018027500,1,-3.4142131184648457
HH20180278,PT2018027800,1,18.096932338065937
HH20180295,PT2018029500,1,-2.8837691794674822
HH20180299,PT2018029900,1,4.157096258266242
HH20180107,PT2018010700,1,-2.2815811229244414
HH20180117,PT2018011700,1,-5.050578589114
HH20180127,PT2018012700,1,-1.6310069355164074
HH20180159,PT2018015900,1,-1.10687985843201
HH20180175,PT2018017500,1,-2.239331908843309
HH20180189,PT2018018900,1,-0.2656635088430901
HH20180197,PT2018019700,1,-4.349765024932195
HH20180199,PT2018019900,1,-10.531156782382597
HH20180207,PT2018020700,1,-3.3696469908728726
HH20180209,PT2018020900,1,-8.762087268054591
HH20180217,PT2018021700,1,3.362496385050696
HH20180238,PT2018023800,1,-8.460275730193539
HH20180245,PT2018024500,1,-5.208557976208933
HH20180247,PT2018024700,1,0.10834140598375047
HH20180248,PT2018024800,1,-5.636562778252389
HH20180258,PT2018025800,1,-2.9919096084375374
HH20180265,PT2018026500,1,-0.9022571155440976
HH20180288,PT2018028800,1,-5.758907807701842
HH20180294,PT2018029400,1,4.098736072774725
HH20180103,PT2018010300,1,-7.339816776033219
HH20180109,PT2018010900,1,-1.6171423795642246
HH20180119,PT2018011900,1,-5.536113121824005
HH20180123,PT2018012300,1,-4.186040761944939
HH20180126,PT2018012600,1,-6.1297769957180375
HH20180133,PT2018013300,1,3.625927034263756
HH20180139,PT2018013900,1,-3.868742847993603
HH20180146,PT2018014600,1,-1.8005797083828678
HH20180149,PT2018014900,1,0.24903724263402205
HH20180156,PT2018015600,1,-3.1258863545051314
HH20180235,PT2018023500,1,-6.077257026584937
HH20180252,PT2018025200,1,1.9277212368554535
HH20180254,PT2018025400,1,-0.5145050189389018
HH20180257,PT2018025700,1,-5.105834249397153
HH20180264,PT2018026400,1,-4.580856016812971
HH20180267,PT2018026700,1,-11.490488117625997
HH20180274,PT2018027400,1,-4.579789548029825
HH20180277,PT2018027700,1,-1.6000294123664485
HH20180284,PT2018028400,1,-1.5054279765991714
HH20180116,PT2018011600,1,-4.096487335782158
HH20180134,PT2018013400,1,-1.6817835199714908
