hh_id,wave,heatable_room,heatable_share,no_heat_room,no_heat_share,heat_dur_master,room_number_heatuse,heat_regular,use_share,regular_share,total_room,Treat_V,T_ATW,T_ATA,T_Storage,Treat_hh,T_Timing,year
HH20180101,1,5,71.42857142857143,2,28.57142857142857,66,3,5,42.857142857142854,71.42857142857143,7,0,0,0,0,0,0,2018
HH20180101,2,NA,NA,NA,NA,100,NA,5,NA,83.33333333333334,6,0,0,0,0,0,0,2019
HH20180102,1,5,100,0,0,100,5,5,100,100,5,0,0,0,0,0,0,2018
HH20180102,2,NA,NA,NA,NA,80,NA,4,NA,80,5,0,0,0,0,0,0,2019
HH20180102,4,5,83.33333333333334,1,16.666666666666664,100,5,5,83.33333333333334,83.33333333333334,6,0,0,0,0,0,0,2021
HH20180103,1,1,50,1,50,20,1,1,50,50,2,0,0,0,0,0,0,2018
HH20180103,2,2,100,0,0,20,1,1,50,50,2,0,0,0,0,0,0,2019
HH20180103,4,1,50,1,50,20,1,1,50,50,2,0,0,0,0,0,0,2021
HH20180104,1,1,100,0,0,20,1,1,100,100,1,0,0,0,0,0,0,2018
HH20180104,2,2,100,0,0,20,1,1,50,50,2,0,0,0,0,0,0,2019
HH20180104,4,3,60,2,40,20,1,1,20,20,5,0,0,0,0,0,0,2021
HH20180106,1,1,100,0,0,20,1,1,100,100,1,0,0,0,0,0,0,2018
HH20180106,2,1,50,1,50,20,1,1,50,50,2,0,0,0,0,0,0,2019
HH20180106,4,2,100,0,0,20,1,1,50,50,2,0,0,0,0,0,0,2021
HH20180107,1,3,50,3,50,20,1,1,16.666666666666664,16.666666666666664,6,0,0,0,0,0,2020,2018
HH20180107,2,2,33.33333333333333,4,66.66666666666666,20,1,1,16.666666666666664,16.666666666666664,6,0,0,0,0,0,2020,2019
HH20180107,4,9,100,0,0,180,9,9,100,100,9,1,1,0,0,1,2020,2021
HH20180108,1,6,100,0,0,4,2,2,33.33333333333333,33.33333333333333,6,0,0,0,0,0,0,2018
HH20180108,2,6,100,0,0,51,3,3,50,50,6,0,0,0,0,0,0,2019
HH20180108,4,1,20,4,80,5,1,1,20,20,5,0,0,0,0,0,0,2021
HH20180109,1,2,40,3,60,23,2,2,40,40,5,0,0,0,0,0,0,2018
HH20180109,2,5,100,0,0,12,2,2,40,40,5,0,0,0,0,0,0,2019
HH20180110,1,4,57.14285714285714,3,42.857142857142854,17,3,3,42.857142857142854,42.857142857142854,7,0,0,0,0,0,0,2018
HH20180110,2,6,100,0,0,34,2,2,33.33333333333333,33.33333333333333,6,0,0,0,0,0,0,2019
HH20180110,4,1,50,1,50,3,1,1,50,50,2,0,0,0,0,0,0,2021
HH20180111,1,6,60,4,40,100,5,5,50,50,10,0,0,0,0,0,2019,2018
HH20180111,4,12,100,0,0,240,12,12,100,100,12,1,1,0,0,1,2019,2021
HH20180112,1,4,100,0,0,40,2,2,50,50,4,0,0,0,0,0,0,2018
HH20180112,2,4,80,1,20,40,2,2,40,40,5,0,0,0,0,0,0,2019
HH20180112,4,4,50,4,50,60,3,3,37.5,37.5,8,0,0,0,0,0,0,2021
HH20180113,1,3,75,1,25,6,2,2,50,50,4,0,0,0,0,0,0,2018
HH20180113,2,4,80,1,20,6,3,2,60,40,5,0,0,0,0,0,0,2019
HH20180113,4,2,28.57142857142857,5,71.42857142857143,1,1,1,14.285714285714285,14.285714285714285,7,0,0,0,0,0,0,2021
HH20180114,1,4,100,0,0,60,3,3,75,75,4,0,0,0,0,0,0,2018
HH20180114,2,4,100,0,0,80,4,4,100,100,4,0,0,0,0,0,0,2019
HH20180114,4,2,66.66666666666666,1,33.33333333333333,40,2,2,66.66666666666666,66.66666666666666,3,0,0,0,0,0,0,2021
HH20180115,1,4,80,1,20,80,4,4,80,80,5,0,0,0,0,0,0,2018
HH20180115,2,4,80,1,20,80,3,4,60,80,5,0,0,0,0,0,0,2019
HH20180115,4,3,50,3,50,60,3,3,50,50,6,0,0,0,0,0,0,2021
HH20180116,1,3,100,0,0,47,3,3,100,100,3,0,0,0,0,0,2020,2018
HH20180116,2,3,100,0,0,40,3,2,100,66.66666666666666,3,0,0,0,0,0,2020,2019
HH20180116,4,2,66.66666666666666,1,33.33333333333333,11,1,1,33.33333333333333,33.33333333333333,3,1,0,0,0,0,2020,2021
HH20180117,1,2,50,2,50,25,2,2,50,50,4,0,0,0,0,0,2020,2018
HH20180117,2,4,100,0,0,40,2,2,50,50,4,0,0,0,0,0,2020,2019
HH20180117,4,7,100,0,0,80,4,4,57.14285714285714,57.14285714285714,7,1,1,0,0,1,2020,2021
HH20180118,1,1,11.11111111111111,8,88.88888888888889,1,1,1,11.11111111111111,11.11111111111111,9,0,0,0,0,0,0,2018
HH20180118,4,2,66.66666666666666,1,33.33333333333333,20,1,1,33.33333333333333,33.33333333333333,3,0,0,0,0,0,0,2021
HH20180119,1,2,40,3,60,28,2,2,40,40,5,0,0,0,0,0,0,2018
HH20180119,2,9,100,0,0,33,3,3,33.33333333333333,33.33333333333333,9,0,0,0,0,0,0,2019
HH20180119,4,3,50,3,50,60,3,3,50,50,6,0,0,0,0,0,0,2021
HH20180120,1,5,100,0,0,100,5,5,100,100,5,0,0,0,0,0,0,2018
HH20180120,2,5,100,0,0,100,5,5,100,100,5,0,0,0,0,0,0,2019
HH20180121,1,10,90.9090909090909,1,9.090909090909092,200,10,10,90.9090909090909,90.9090909090909,11,0,0,0,0,0,2019,2018
HH20180121,2,11,100,0,0,160,8,8,72.72727272727273,72.72727272727273,11,1,1,0,0,1,2019,2019
HH20180121,4,10,83.33333333333334,2,16.666666666666664,200,10,10,83.33333333333334,83.33333333333334,12,1,1,0,0,1,2019,2021
HH20180123,1,5,100,0,0,81,4,5,80,100,5,0,0,0,0,0,0,2018
HH20180123,2,4,100,0,0,80,3,4,75,100,4,0,0,0,0,0,0,2019
HH20180123,4,6,40,9,60,120,6,6,40,40,15,0,0,0,0,0,0,2021
HH20180124,1,6,85.71428571428571,1,14.285714285714285,120,6,6,85.71428571428571,85.71428571428571,7,0,0,0,0,0,0,2018
HH20180124,2,7,100,0,0,74,4,4,57.14285714285714,57.14285714285714,7,0,0,0,0,0,0,2019
HH20180124,4,5,83.33333333333334,1,16.666666666666664,100,5,5,83.33333333333334,83.33333333333334,6,0,0,0,0,0,0,2021
HH20180125,1,4,100,0,0,12,4,4,100,100,4,0,0,0,0,0,0,2018
HH20180125,2,5,100,0,0,80,4,4,80,80,5,0,0,0,0,0,0,2019
HH20180125,4,5,83.33333333333334,1,16.666666666666664,80,4,4,66.66666666666666,66.66666666666666,6,0,0,0,0,0,0,2021
HH20180126,1,2,100,0,0,40,2,2,100,100,2,0,0,0,0,0,0,2018
HH20180126,4,3,50,3,50,41,3,3,50,50,6,0,0,0,0,0,0,2021
HH20180127,1,3,60,2,40,40,1,2,20,40,5,0,0,0,0,0,2020,2018
HH20180127,2,4,66.66666666666666,2,33.33333333333333,40,2,2,33.33333333333333,33.33333333333333,6,0,0,0,0,0,2020,2019
HH20180128,1,5,83.33333333333334,1,16.666666666666664,80,4,4,66.66666666666666,66.66666666666666,6,0,0,0,0,0,0,2018
HH20180128,2,4,66.66666666666666,2,33.33333333333333,21,2,2,33.33333333333333,33.33333333333333,6,0,0,0,0,0,0,2019
HH20180128,4,2,50,2,50,18,2,2,50,50,4,0,0,0,0,0,0,2021
HH20180130,1,2,50,2,50,40,2,2,50,50,4,0,0,0,0,0,0,2018
HH20180130,2,3,100,0,0,60,3,3,100,100,3,0,0,0,0,0,0,2019
HH20180130,4,3,75,1,25,60,3,3,75,75,4,0,0,0,0,0,0,2021
HH20180131,1,3,50,3,50,3,2,3,33.33333333333333,50,6,0,0,0,0,0,0,2018
HH20180131,4,2,50,2,50,12,2,2,50,50,4,0,0,0,0,0,0,2021
HH20180133,1,4,80,1,20,40,2,2,40,40,5,0,0,0,0,0,0,2018
HH20180133,2,5,100,0,0,29,2,2,40,40,5,0,0,0,0,0,0,2019
HH20180134,1,3,37.5,5,62.5,60,2,3,25,37.5,8,0,0,0,0,0,2020,2018
HH20180134,2,4,80,1,20,35,3,3,60,60,5,0,0,0,0,0,2020,2019
HH20180134,4,8,100,0,0,160,7,8,87.5,100,8,1,1,0,0,1,2020,2021
HH20180136,1,2,100,0,0,20,1,1,50,50,2,0,0,0,0,0,0,2018
HH20180136,4,2,40,3,60,20,1,1,20,20,5,0,0,0,0,0,0,2021
HH20180137,1,1,20,4,80,20,1,1,20,20,5,0,0,0,0,0,0,2018
HH20180137,2,6,100,0,0,21,1,2,16.666666666666664,33.33333333333333,6,0,0,0,0,0,0,2019
HH20180138,1,6,60,4,40,21,3,2,30,20,10,0,0,0,0,0,0,2018
