category,type,time,substance,measure,metric,Mean_S1,GM_S1,Mean_S2,GM_S2,Mean_S3,GM_S3,Mean_S4,GM_S4
Personal,Filter-derived,24h,PM2.5,24h PM2.5,est,117,72,97,59,,,84,47
Personal,Filter-derived,24h,PM2.5,24h PM2.5,ci,"[105, 129]","[65, 80]","[87, 107]","[53, 65]",,,"[72, 97]","[42, 52]"
Personal,Filter-derived,24h,BC,24h BC,est,4,2.6,3.5,1.9,,,3.7,1.7
Personal,Filter-derived,24h,BC,24h BC,ci,"[3.5, 4.4]","[2.4, 2.8]","[2.7, 4.2]","[1.7, 2.1]",,,"[2.9, 4.5]","[1.5, 1.9]"
Indoor,Sensor-derived,Seasonal,PM2.5,Seasonal PM2.5,est,,,94,71,84,63,67,47
Indoor,Sensor-derived,Seasonal,PM2.5,Seasonal PM2.5,ci,,,"[84, 104]","[65, 78]","[75, 94]","[57, 70]","[60, 75]","[42, 52]"
Indoor,Filter-derived,24h,PM2.5,24h PM2.5,est,,,69,45,,,59,33
Indoor,Filter-derived,24h,PM2.5,24h PM2.5,ci,,,"[59, 79]","[39, 53]",,,"[49, 69]","[27, 40]"
Indoor,Filter-derived,24h,BC,24h BC,est,,,2.3,1.6,,,2.8,1.6
Indoor,Filter-derived,24h,BC,24h BC,ci,,,"[1.8, 2.8]","[1.3, 2.0]",,,"[2.1, 3.4]","[1.3, 1.9]"
Outdoor,Sensor-derived,Seasonal,PM2.5,Seasonal PM2.5,est,47,36,55,40,23,33,33,22
Outdoor,Sensor-derived,Seasonal,PM2.5,Seasonal PM2.5,ci,"[45, 48]","[35, 37]","[54, 56]","[39, 41]","[22, 23]","[32, 34]","[32, 34]","[22, 23]"
Outdoor,Filter-derived,Seasonal,PM2.5,Seasonal PM2.5,est,38,33,38,30,,,26,22
Outdoor,Filter-derived,Seasonal,PM2.5,Seasonal PM2.5,ci,"[34, 42]","[29, 36]","[34, 41]","[28, 32]",,,"[24, 28]","[21, 24]"
Outdoor,Filter-derived,Seasonal,BC,Seasonal BC,est,1.5,1.3,1.4,1.1,,,1.2,1
Outdoor,Filter-derived,Seasonal,BC,Seasonal BC,ci,"[1.3, 1.6]","[1.1, 1.4]","[1.3, 1.5]","[1.0, 1.2]",,,"[1.1, 1.2]","[0.9, 1.1]"
