hh_id,wave,datetime,ID_VILLAGE,ID_TOWN,ID_COUNTY,district,vid,hh_lat_median,hh_long_median,hh_alt_median,coal_ban_time,treatment,treatment_wave,village,indmonitor_id,pm2.5_indoor_seasonal_hs,N_percent_indoor_seasonal_hs,notes
HH20181169,S3,1/6/21,12305,7052,25151,Fangshan,FS37,39.57702966,115.7406003,103.3025818,Not Yet,Untreated,Untreated,Beibaidai,1807-7,68.97763,0.9988657,
HH20181161,S3,1/6/21,12305,7052,25151,Fangshan,FS37,39.57702966,115.7406003,103.3025818,Not Yet,Untreated,Untreated,Beibaidai,1910-094,130.8159,0.1521991,
HH20180452,S3,1/6/21,12305,7052,25151,Fangshan,FS37,39.57702966,115.7406003,103.3025818,Not Yet,Untreated,Untreated,Beibaidai,1910-104,38.76813,0.7352431,
HH20180550,S3,1/6/21,12305,7052,25151,Fangshan,FS37,39.57702966,115.7406003,103.3025818,Not Yet,Untreated,Untreated,Beibaidai,1910-138,30.06498,0.9989005,
HH20180551,S3,1/6/21,12305,7052,25151,Fangshan,FS37,39.57702966,115.7406003,103.3025818,Not Yet,Untreated,Untreated,Beibaidai,1910-223,105.6651,0.9989236,
HH20181167,S3,1/6/21,12305,7052,25151,Fangshan,FS37,39.57702966,115.7406003,103.3025818,Not Yet,Untreated,Untreated,Beibaidai,1910-279,52.56747,0.4465625,
HH20180451,S3,1/6/21,12305,7052,25151,Fangshan,FS37,39.57702966,115.7406003,103.3025818,Not Yet,Untreated,Untreated,Beibaidai,,,,
HH20180733,S3,1/6/21,12305,7052,25151,Fangshan,FS37,39.57702966,115.7406003,103.3025818,Not Yet,Untreated,Untreated,Beibaidai,,,,
HH20180734,S3,1/6/21,12305,7052,25151,Fangshan,FS37,39.57702966,115.7406003,103.3025818,Not Yet,Untreated,Untreated,Beibaidai,,,,
HH20180962,S3,1/6/21,12305,7052,25151,Fangshan,FS37,39.57702966,115.7406003,103.3025818,Not Yet,Untreated,Untreated,Beibaidai,,,,
HH20181168,S3,1/6/21,12305,7052,25151,Fangshan,FS37,39.57702966,115.7406003,103.3025818,Not Yet,Untreated,Untreated,Beibaidai,,,,
HH20181197,S3,1/6/21,12305,7052,25151,Fangshan,FS37,39.57702966,115.7406003,103.3025818,Not Yet,Untreated,Untreated,Beibaidai,,,,
HH20181199,S3,1/6/21,12305,7052,25151,Fangshan,FS37,39.57702966,115.7406003,103.3025818,Not Yet,Untreated,Untreated,Beibaidai,,,,
HH20180564,S3,1/6/21,12306,7052,25151,Fangshan,FS38,39.59097511,115.7543392,138.064209,Not Yet,Untreated,Untreated,Caijiakou,1807-18,46.66025,0.9988773,
HH20180414,S3,1/6/21,12306,7052,25151,Fangshan,FS38,39.59097511,115.7543392,138.064209,Not Yet,Untreated,Untreated,Caijiakou,1811-10,34.54974,0.9749421,
HH20180609,S3,1/6/21,12306,7052,25151,Fangshan,FS38,39.59097511,115.7543392,138.064209,Not Yet,Untreated,Untreated,Caijiakou,1910-056,105.1532,0.9989236,
HH20180611,S3,1/6/21,12306,7052,25151,Fangshan,FS38,39.59097511,115.7543392,138.064209,Not Yet,Untreated,Untreated,Caijiakou,1910-242,NA,NA,
HH20180679,S3,1/6/21,12306,7052,25151,Fangshan,FS38,39.59097511,115.7543392,138.064209,Not Yet,Untreated,Untreated,Caijiakou,1910-312,27.20496,0.1250694,
HH20180610,S3,1/6/21,12306,7052,25151,Fangshan,FS38,39.59097511,115.7543392,138.064209,Not Yet,Untreated,Untreated,Caijiakou,1910-359,98.93642,0.6735417,
HH20180408,S3,1/6/21,12306,7052,25151,Fangshan,FS38,39.59097511,115.7543392,138.064209,Not Yet,Untreated,Untreated,Caijiakou,,,,
HH20180436,S3,1/6/21,12306,7052,25151,Fangshan,FS38,39.59097511,115.7543392,138.064209,Not Yet,Untreated,Untreated,Caijiakou,,,,
HH20180562,S3,1/6/21,12306,7052,25151,Fangshan,FS38,39.59097511,115.7543392,138.064209,Not Yet,Untreated,Untreated,Caijiakou,,,,
HH20180612,S3,1/6/21,12306,7052,25151,Fangshan,FS38,39.59097511,115.7543392,138.064209,Not Yet,Untreated,Untreated,Caijiakou,,,,
HH20180676,S3,1/6/21,12306,7052,25151,Fangshan,FS38,39.59097511,115.7543392,138.064209,Not Yet,Untreated,Untreated,Caijiakou,,,,
HH20180680,S3,1/6/21,12306,7052,25151,Fangshan,FS38,39.59097511,115.7543392,138.064209,Not Yet,Untreated,Untreated,Caijiakou,,,,
