ptc_id,wave,ID_VILLAGE,outdoor_temp_seasonal,outdoor_temp_24h,outdoor_dew_seasonal,outdoor_dew_24h
PT2018010100,2,14290,0.825692364,-0.733404257,-11.9646778,-4.481272372
PT2018010200,2,14288,0.879882864,-1.916143629,-11.9646778,-16.11986195
PT2018010201,2,14288,0.879882864,-0.334991204,-11.9646778,-11.86007716
PT2018010300,2,14294,-0.128696136,-4.087856543,-11.9646778,-9.498529757
PT2018010400,2,14284,1.069292864,1.887295299,-11.9646778,-11.57217575
PT2018010600,2,14265,1.170263864,-1.699404578,-11.9646778,-15.07246179
PT2018010700,2,14267,1.332822364,-0.768362323,-11.9646778,-18.58072938
PT2018010800,2,14303,-1.537382636,-7.393878019,-11.9646778,-12.94801015
PT2018010900,2,14294,0.043514864,-3.915249713,-11.9646778,-9.503123305
PT2018011000,2,14303,-1.505545636,-7.362740622,-11.9646778,-12.94586059
PT2018011100,2,10891,-1.31936657,-5.314562254,-12.53731745,-13.44607467
PT2018011201,2,14288,0.909574864,-1.887678099,-11.9646778,-16.11991338
PT2018011202,2,14288,0.909574864,-0.304805068,-11.9646778,-11.86117658
PT2018011300,2,14265,1.140643364,-1.725909267,-11.9646778,-15.07998409
PT2018011400,2,14284,1.047940364,1.865958818,-11.9646778,-11.57225431
PT2018011500,2,14284,1.015648364,1.833641182,-11.9646778,-11.57212857
PT2018011600,2,14270,1.360226364,-0.731595879,-11.9646778,-18.57050748
PT2018011700,2,14267,1.346283864,-0.754082046,-11.9646778,-18.57983544
PT2018011801,2,14303,-1.459324136,-5.353919754,-11.9646778,-9.296043504
PT2018011900,2,14294,-0.219416636,-4.178973165,-11.9646778,-9.493932823
PT2018012000,2,14288,0.834642864,-1.964949401,-11.9646778,-16.12001146
PT2018012100,2,12105,-1.034881794,-11.30228569,-13.13669683,-26.0668145
PT2018012300,2,14294,-0.117522636,-4.076318585,-11.9646778,-9.502759241
PT2018012400,2,14284,1.068525864,0.726180143,-11.9646778,-13.19863522
PT2018012401,2,14284,1.068525864,-0.5726617,-11.9646778,-4.212562851
PT2018012500,2,14284,1.023149364,1.841319869,-11.9646778,-11.5730001
PT2018012701,2,14267,1.339107864,-0.761951796,-11.9646778,-18.58059288
PT2018012801,2,14303,-1.506988636,-7.364562727,-11.9646778,-12.94469577
PT2018013000,2,14288,0.849339364,-3.290849544,-11.9646778,-14.76238108
PT2018013300,2,14294,-0.016317636,-3.9751428,-11.9646778,-9.502420206
PT2018013400,2,14270,1.372166864,-4.022928616,-11.9646778,-14.53872226
PT2018013700,2,14265,1.161566864,-1.707464753,-11.9646778,-15.07399924
PT2018013800,2,14288,0.874884364,-0.339294177,-11.9646778,-11.86162466
PT2018013900,2,14294,0.045393364,-3.913249712,-11.9646778,-9.504533313
PT2018014001,2,14288,0.866746364,-1.93370559,-11.9646778,-16.1200475
PT2018014300,2,14270,1.471064364,-3.921947943,-11.9646778,-14.54762171
PT2018014301,2,14270,1.471064364,-3.921947943,-11.9646778,-14.54762171
PT2018014400,2,14270,1.387071364,-4.00760602,-11.9646778,-14.54050839
PT2018014600,2,14294,-0.149138636,-4.108049855,-11.9646778,-9.501421555
PT2018014701,2,14265,1.170627864,-1.698962319,-11.9646778,-15.07265073
PT2018014800,2,14303,-1.546924636,-7.403732611,-11.9646778,-12.9470497
PT2018014900,2,14294,0.043787864,-3.914885425,-11.9646778,-9.504182695
PT2018015200,2,12105,-1.030915908,-11.30261651,-13.13744427,-26.06964442
PT2018015300,2,14270,1.362273864,-4.032357298,-11.9646778,-14.54070586
PT2018015400,2,14270,1.359810364,-4.031825253,-11.9646778,-14.55350301
PT2018015600,2,14294,-0.145667636,-4.105056972,-11.9646778,-9.495873075
PT2018015601,2,14294,-0.145667636,-4.095548914,-11.9646778,-8.492023777
PT2018015700,2,14265,1.173975364,-1.690878019,-11.9646778,-15.08408647
PT2018015900,2,14267,1.355533364,-1.654837479,-11.9646778,-14.73277331
PT2018016000,2,121071,-1.33693676,-5.509111475,-13.10438009,-11.34920425
PT2018016100,2,14290,0.826225364,-0.733000151,-11.9646778,-4.480850459
PT2018016201,2,14288,0.955620864,-1.838174577,-11.9646778,-16.11976841
PT2018016300,2,14270,1.360310864,-0.731243821,-11.9646778,-18.57021536
PT2018016400,2,14270,1.388566364,-4.005001071,-11.9646778,-14.54525016
PT2018016500,2,14265,1.143522864,-1.727856795,-11.9646778,-15.06833052
PT2018016600,2,14270,1.386213364,-0.428928111,-11.9646778,-3.6431569
PT2018016700,2,14265,1.116385364,-1.756495613,-11.9646778,-15.06470598
PT2018016900,2,14270,1.366238864,-4.030444725,-11.9646778,-14.53193776
PT2018017000,2,12103,-1.50511488,-7.564087709,-13.09577425,-18.06430455
PT2018017100,2,14290,0.787855864,-3.858605438,-11.9646778,-14.61405659
PT2018017300,2,14284,1.109449864,0.767104143,-11.9646778,-13.19827699
PT2018017400,2,14284,1.060472364,1.87859269,-11.9646778,-11.57275398
PT2018017500,2,14267,1.323527364,-0.777994461,-11.9646778,-18.58109747
PT2018017601,2,14270,1.214528864,-4.178839938,-11.9646778,-14.54609874
PT2018017700,2,14265,1.158570364,-1.714427474,-11.9646778,-15.06442385
PT2018017801,2,14270,1.362455864,-4.034153658,-11.9646778,-14.53225418
PT2018017900,2,14270,1.364756864,-4.030836374,-11.9646778,-14.53659581
PT2018018000,2,14303,-1.341979636,-7.198430234,-11.9646778,-12.94814776
PT2018018001,2,14303,-1.341979636,-5.236240455,-11.9646778,-9.300912476
PT2018018100,2,12110,-1.212386122,-5.65103118,-13.15142267,-15.85701481
PT2018018300,2,14284,1.004767364,1.822813776,-11.9646778,-11.57239145
PT2018018400,2,14285,0.788213364,0.445867643,-11.9646778,-13.21716527
PT2018018500,2,14303,-1.451264136,-7.308824391,-11.9646778,-12.94473829
PT2018018700,2,14265,1.141299864,-1.734570353,-11.9646778,-15.05748926
PT2018018900,2,14267,1.262271364,-0.838799277,-11.9646778,-18.58060487
PT2018019000,2,14303,-1.480683136,-7.339720988,-11.9646778,-12.9401983
PT2018019200,2,14284,1.037338864,-0.603378763,-11.9646778,-4.214101103
PT2018019300,2,14284,1.018001364,1.83641022,-11.9646778,-11.57416917
PT2018019400,2,14290,0.801284864,-3.845604385,-11.9646778,-14.61311145
PT2018019600,2,14288,0.834876864,-1.966689899,-11.9646778,-16.12009424
PT2018019800,2,14288,0.848552864,-1.950308944,-11.9646778,-16.11998083
PT2018019900,2,14267,1.328155364,-0.772874894,-11.9646778,-18.58056078
PT2018020000,2,14288,0.856957364,-1.951466743,-11.9646778,-16.12038175
PT2018020200,2,14284,1.054849864,1.872578229,-11.9646778,-11.57083148
PT2018020400,2,14285,0.756792364,0.414446643,-11.9646778,-13.21739518
PT2018020700,2,14267,1.211304864,-0.890427711,-11.9646778,-18.58132756
PT2018020900,2,14267,1.321395364,-0.780215832,-11.9646778,-18.58119504
PT2018021000,2,14303,-1.350624636,-5.918385293,-11.9646778,-14.78787174
PT2018021200,2,14270,1.251923364,-4.142847582,-11.9646778,-14.54010869
PT2018021300,2,14265,1.135755364,-1.735121084,-11.9646778,-15.06954538
PT2018021400,2,14290,0.802571864,-3.844579407,-11.9646778,-14.61253276
PT2018021500,2,14303,-1.316096636,-5.883664554,-11.9646778,-14.78829741
PT2018021600,2,14265,1.159239864,-1.70617757,-11.9646778,-15.08272472
PT2018021700,2,14267,1.283500364,-0.817982546,-11.9646778,-18.58105498
PT2018021900,2,14270,1.342936364,-4.049418228,-11.9646778,-14.55043151
PT2018022000,2,14288,0.834909364,-1.970985803,-11.9646778,-16.12027572
PT2018022300,2,14265,1.166552364,-1.703582656,-11.9646778,-15.07133536
PT2018022400,2,14285,0.785320864,0.442975143,-11.9646778,-13.21736021
PT2018022500,2,14303,-1.337462136,-7.193960103,-11.9646778,-12.94800222
PT2018022501,2,14303,-1.337462136,-7.193960103,-11.9646778,-12.94800222
PT2018022600,2,121071,-1.317694359,-5.48990691,-13.1038372,-11.34702219
PT2018022900,2,14270,1.365640864,-4.028059177,-11.9646778,-14.54468367
PT2018023000,2,14288,0.950628864,-1.842698764,-11.9646778,-16.1197488
PT2018023400,2,14288,0.822409864,-0.390523807,-11.9646778,-11.86439441
PT2018023401,2,14288,0.822409864,-1.978432793,-11.9646778,-16.12006388
PT2018023500,2,14294,-0.150185136,-4.109546482,-11.9646778,-9.496197889
PT2018023800,2,14267,1.319672864,-0.781642683,-11.9646778,-18.58087225
PT2018023900,2,14270,1.383093364,-4.010583898,-11.9646778,-14.54478098
PT2018024000,2,14288,0.923049364,-0.290394397,-11.9646778,-11.86325949
PT2018024200,2,14270,1.390964864,-0.423998982,-11.9646778,-3.643738335
PT2018024300,2,14288,0.811775864,-1.993954603,-11.9646778,-16.12026882
PT2018024400,2,14284,1.071749864,1.890069713,-11.9646778,-11.5737326
PT2018024500,2,14267,1.313679864,-0.788064471,-11.9646778,-18.5813404
PT2018024800,2,14267,1.330826864,-0.770262823,-11.9646778,-18.58062566
PT2018025200,2,14294,-0.179526136,-4.138203764,-11.9646778,-9.50413234
PT2018025300,2,14288,0.748628364,-2.057258043,-11.9646778,-16.12027536
PT2018025400,2,14294,-0.007068136,-3.965966291,-11.9646778,-9.501573162
PT2018025700,2,14294,-0.242888136,-4.20252741,-11.9646778,-9.492972582
PT2018025800,2,14267,1.362579364,-0.737558252,-11.9646778,-18.57958619
PT2018026000,2,14288,0.847096864,-1.960137142,-11.9646778,-16.12033186
PT2018026300,2,14288,0.812347864,-1.989851096,-11.9646778,-16.12012075
PT2018026400,2,14294,-0.195256136,-4.154210149,-11.9646778,-9.500924934
PT2018026500,2,14267,1.313985364,-0.787728253,-11.9646778,-18.58130687
PT2018026700,2,14294,-0.047914136,-3.997326785,-11.9646778,-8.498839055
PT2018026701,2,14294,-0.047914136,-4.006802106,-11.9646778,-9.501691358
PT2018026800,2,14265,1.126603364,-1.742116036,-11.9646778,-15.074753
PT2018026900,2,14284,1.105003864,1.922649188,-11.9646778,-11.57042418
PT2018027200,2,14265,1.022122364,-1.850600126,-11.9646778,-15.06508861
PT2018027400,2,14294,-0.162593636,-4.121603392,-11.9646778,-9.500278049
PT2018027500,2,14265,1.029161864,-1.844233248,-11.9646778,-15.06346474
PT2018027700,2,14294,-0.030890636,-3.98992723,-11.9646778,-9.499966595
PT2018027800,2,14265,1.155339864,-1.713518315,-11.9646778,-15.07441796
PT2018027900,2,14284,1.067362364,1.885419929,-11.9646778,-11.57244615
PT2018028000,2,14303,-1.484693636,-6.053411417,-11.9646778,-14.78575787
PT2018028501,2,14265,1.122553864,-1.749474531,-11.9646778,-15.06676432
PT2018028600,2,121071,-1.310709061,-5.482937817,-13.10351213,-11.34565739
PT2018028700,2,14284,1.093570364,1.911198556,-11.9646778,-11.57034015
PT2018028800,2,14267,1.324177364,-0.776419299,-11.9646778,-18.58008738
PT2018028900,2,14284,1.068616864,1.886487082,-11.9646778,-11.57152725
PT2018028901,2,14284,1.068616864,-0.572568374,-11.9646778,-4.212570466
PT2018029000,2,14285,0.773802864,0.431457143,-11.9646778,-13.2175308
PT2018029200,2,14303,-1.357768136,-7.214226989,-11.9646778,-12.94812239
PT2018029300,2,14288,0.830879364,-1.980901716,-11.9646778,-16.1205225
PT2018029400,2,14267,1.404978864,-0.691418168,-11.9646778,-18.57550222
PT2018029500,2,14265,1.177140864,-1.6927585,-11.9646778,-15.07190429
PT2018029600,2,12110,-1.114644205,-4.605994939,-13.15113662,-15.7689275
PT2018029700,2,14303,-1.344612136,-7.201099138,-11.9646778,-12.94803591
PT2018029900,2,14265,1.164179864,-1.705165706,-11.9646778,-15.07324128
PT2018030000,2,14284,1.000548864,1.818685488,-11.9646778,-11.57283392
PT2018030200,2,121072,-1.156593401,-3.897740233,-13.12364147,-12.12035293
PT2018030300,2,121072,-1.170614853,-3.912739802,-13.12442313,-12.12392697
PT2018030600,2,121072,-1.162679681,-3.898615998,-13.12189071,-12.10645384
PT2018030700,2,121072,-1.159230371,-3.895411807,-13.12181358,-12.106767
PT2018030800,2,12108,-1.033561151,-6.088612153,-13.13529516,-14.20166074
PT2018030900,2,12108,-1.039067967,-6.09486193,-13.13593655,-14.20543221
PT2018031000,2,12108,-1.040312936,-6.09598778,-13.13572386,-14.20468334
PT2018031100,2,12108,-1.0352735260000001,-6.088502764,-13.13356544,-14.19217838
PT2018031200,2,121071,-1.280538174,-5.4523642,-13.10902219,-11.36743793
PT2018031300,2,121071,-1.269222335,-5.440915373,-13.10957637,-11.36881439
PT2018031500,2,121071,-1.266245959,-5.437810232,-13.10974621,-11.36848853
PT2018031600,2,12103,-1.645017468,-7.695908917,-13.09185853,-18.04155255
PT2018031700,2,12103,-1.559007235,-7.61551297,-13.0938986,-18.05549543
PT2018031900,2,12103,-2.340874057,-8.367296215,-13.06042973,-17.91997253
PT2018031901,2,12103,-2.340874057,-8.626327562,-13.06042973,-16.09594481
PT2018032000,2,12103,-2.324200131,-8.350870976,-13.06008169,-17.91940235
