"ptc_key","wave","hh_id","ptc_id","outdoor_temp_idw","outdoor_dew_idw","RH"
"PT20180101001",1,"HH20180101","PT2018010100",-4.05870536412875,-22.1472136631037,23.0433973545297
"PT20180101002",2,"HH20180101","PT2018010100",-0.733404256624009,-4.48127237150104,75.7497520363518
"PT20180102001",1,"HH20180102","PT2018010200",0.991953034881311,-12.2051584355294,36.657688941054
"PT20180102002",2,"HH20180102","PT2018010200",-1.91614362925391,-16.1198619544805,32.8908143261403
"PT20180102004",4,"HH20180102","PT2018010200",-4.06824016316627,-17.0141947313395,35.8193133369609
"PT20180102012",2,"HH20180102","PT2018010201",-0.334991203763487,-11.8600771582226,41.4833734534714
"PT20180103001",1,"HH20180103","PT2018010300",-0.0766726282374067,-16.2436605015241,28.4568892123393
"PT20180103002",2,"HH20180103","PT2018010300",-4.0878565433441,-9.49852975738435,66.0128752390353
"PT20180103004",4,"HH20180103","PT2018010300",-5.09923419257548,-17.5688333512109,36.9489292641818
"PT20180104001",1,"HH20180104","PT2018010400",0.204106524291385,-11.719214574428,40.3447046362119
"PT20180104002",2,"HH20180104","PT2018010400",1.88729529897912,-11.5721757462542,36.169011708578
"PT20180104004",4,"HH20180104","PT2018010400",-1.19058545937575,-19.5732505070636,23.2935708178123
"PT20180105001",1,"HH20180105","PT2018010500",0.118654721280752,-11.719280275015,40.5949446432269
"PT20180106001",1,"HH20180106","PT2018010600",-6.1754234291362,-17.842886760286,39.1817708041228
"PT20180106002",2,"HH20180106","PT2018010600",-1.69940457757792,-15.072461794526,35.3030760029411
"PT20180106004",4,"HH20180106","PT2018010600",-1.11235565167726,-17.6660625207702,27.2393442719271
"PT20180107001",1,"HH20180107","PT2018010700",0.839714559658419,-14.9147954132236,29.7302341268416
"PT20180107002",2,"HH20180107","PT2018010700",-0.768362322547567,-18.5807293802915,24.5833878733608
"PT20180107014",4,"HH20180107","PT2018010701",-1.11352508302858,-17.5027867544755,27.6191017376559
"PT20180108001",1,"HH20180108","PT2018010800",-3.35963160843271,-10.7063283827565,56.8281816196373
"PT20180108002",2,"HH20180108","PT2018010800",-7.39387801929449,-12.9480101538516,64.4813198603855
