"ptc_key","wave","hh_id","ptc_id","outdoor_temp_idw","outdoor_dew_idw","outdoor_RH"
"PT20180101001",1,"HH20180101","PT2018010100",-0.38298314111922,-17.5900243309002,25.9936539496452
"PT20180101002",2,"HH20180101","PT2018010100",0.825692363961818,-11.9646778042959,37.8224481108284
"PT20180102001",1,"HH20180102","PT2018010200",-0.320804141119219,-17.5900243309002,25.8763697934859
"PT20180102002",2,"HH20180102","PT2018010200",0.879882863961818,-11.9646778042959,37.6751372912417
"PT20180102004",4,"HH20180102","PT2018010200",-0.74611152439024,-15.0607317073171,32.9537130750741
"PT20180102012",2,"HH20180102","PT2018010201",0.879882863961818,-11.9646778042959,37.6751372912417
"PT20180103001",1,"HH20180103","PT2018010300",-1.24403814111922,-17.5900243309002,27.6801497688179
"PT20180103002",2,"HH20180103","PT2018010300",-0.128696136038182,-11.9646778042959,40.5248848961404
"PT20180103004",4,"HH20180103","PT2018010300",-1.69004152439024,-15.0607317073171,35.3129000639699
"PT20180104001",1,"HH20180104","PT2018010400",-0.10617414111922,-17.5900243309002,25.4760314797176
"PT20180104002",2,"HH20180104","PT2018010400",1.06929286396182,-11.9646778042959,37.1652460420058
"PT20180104004",4,"HH20180104","PT2018010400",-0.53705202439024,-15.0607317073171,32.4552691625014
"PT20180105001",1,"HH20180105","PT2018010500",-0.19675164111922,-17.5900243309002,25.6441338655837
"PT20180106001",1,"HH20180106","PT2018010600",-0.0268611411192197,-17.5900243309002,25.3298419589165
"PT20180106002",2,"HH20180106","PT2018010600",1.17026386396182,-11.9646778042959,36.8965768861585
"PT20180106004",4,"HH20180106","PT2018010600",-0.44414102439024,-15.0607317073171,32.2364473386684
"PT20180107001",1,"HH20180107","PT2018010700",0.12921685888078,-17.5900243309002,25.0448791070031
"PT20180107002",2,"HH20180107","PT2018010700",1.33282236396182,-11.9646778042959,36.46856621798
"PT20180107014",4,"HH20180107","PT2018010701",-0.34601052439024,-15.0607317073171,32.0071144926452
"PT20180108001",1,"HH20180108","PT2018010800",-2.74034464111922,-17.5900243309002,30.9084056707989
"PT20180108002",2,"HH20180108","PT2018010800",-1.53738263603818,-11.9646778042959,44.9152529546427
"PT20180108004",4,"HH20180108","PT2018010800",-3.18039402439024,-15.0607317073171,39.430002559207
"PT20180109001",1,"HH20180109","PT2018010900",-1.17643814111922,-17.5900243309002,27.5434311156069
"PT20180109002",2,"HH20180109","PT2018010900",0.043514863961818,-11.9646778042959,40.0217593770867
"PT20180110001",1,"HH20180110","PT2018011000",-2.71312264111922,-17.5900243309002,30.8460595205119
"PT20180110002",2,"HH20180110","PT2018011000",-1.50554563603818,-11.9646778042959,44.8103653051504
"PT20180110004",4,"HH20180110","PT2018011000",-3.12663902439024,-15.0607317073171,39.2725417803951
"PT20180111001",1,"HH20180111","PT2018011100",-1.78351180106316,-18.7768999484024,26.0436631796927
"PT20180111002",2,"HH20180111","PT2018011100",-1.31936656958168,-12.5373174492525,42.2129301772984
"PT20180111004",4,"HH20180111","PT2018011100",-2.87718097725106,-16.3652921242103,34.5996395356083
"PT20180112001",1,"HH20180112","PT2018011200",-0.27809914111922,-17.5900243309002,25.7961594585819
"PT20180112011",1,"HH20180112","PT2018011201",-0.27809914111922,-17.5900243309002,25.7961594585819
"PT20180112012",2,"HH20180112","PT2018011201",0.909574863961818,-11.9646778042959,37.5946939969768
"PT20180112014",4,"HH20180112","PT2018011201",-0.72154802439024,-15.0607317073171,32.8947088047156
"PT20180112022",2,"HH20180112","PT2018011202",0.909574863961818,-11.9646778042959,37.5946939969768
"PT20180113001",1,"HH20180113","PT2018011300",-0.0555326411192196,-17.5900243309002,25.3825811226319
"PT20180113002",2,"HH20180113","PT2018011300",1.14064336396182,-11.9646778042959,36.97516779617
"PT20180113004",4,"HH20180113","PT2018011300",-0.46962102439024,-15.0607317073171,32.2962933410372
"PT20180114001",1,"HH20180114","PT2018011400",-0.14918464111922,-17.5900243309002,25.5557010097033
"PT20180114002",2,"HH20180114","PT2018011400",1.04794036396182,-11.9646778042959,37.2223406855568
"PT20180114004",4,"HH20180114","PT2018011400",-0.56796602439024,-15.0607317073171,32.5284433226041
